[2025-02-08 14:49:02,047] [INFO] [real_accelerator.py:222:get_accelerator] Setting ds_accelerator to cuda (auto detect)
{'loss': 1.2371, 'grad_norm': 11.002431869506836, 'learning_rate': 9.599194729136164e-06, 'epoch': 0.14}
{'loss': 1.2071, 'grad_norm': 12.016914367675781, 'learning_rate': 9.580893118594437e-06, 'epoch': 0.14}
{'loss': 1.1153, 'grad_norm': 11.301244735717773, 'learning_rate': 9.56259150805271e-06, 'epoch': 0.14}
{'loss': 1.1809, 'grad_norm': 10.650975227355957, 'learning_rate': 9.544289897510982e-06, 'epoch': 0.14}
{'loss': 1.1789, 'grad_norm': 10.567062377929688, 'learning_rate': 9.525988286969254e-06, 'epoch': 0.14}
{'loss': 1.1818, 'grad_norm': 12.497734069824219, 'learning_rate': 9.507686676427527e-06, 'epoch': 0.14}
{'loss': 1.1178, 'grad_norm': 11.928313255310059, 'learning_rate': 9.489385065885799e-06, 'epoch': 0.15}
{'loss': 1.123, 'grad_norm': 12.468252182006836, 'learning_rate': 9.47108345534407e-06, 'epoch': 0.15}
{'loss': 1.1674, 'grad_norm': 10.221598625183105, 'learning_rate': 9.452781844802344e-06, 'epoch': 0.15}
{'loss': 1.1375, 'grad_norm': 11.202621459960938, 'learning_rate': 9.434480234260615e-06, 'epoch': 0.15}
{'loss': 1.1665, 'grad_norm': 11.78915023803711, 'learning_rate': 9.416178623718889e-06, 'epoch': 0.15}
{'loss': 1.154, 'grad_norm': 11.549938201904297, 'learning_rate': 9.39787701317716e-06, 'epoch': 0.15}
{'loss': 1.2244, 'grad_norm': 11.452675819396973, 'learning_rate': 9.379575402635432e-06, 'epoch': 0.16}
{'loss': 1.1435, 'grad_norm': 10.409505844116211, 'learning_rate': 9.361273792093705e-06, 'epoch': 0.16}
{'loss': 1.1034, 'grad_norm': 10.983338356018066, 'learning_rate': 9.342972181551977e-06, 'epoch': 0.16}
{'loss': 1.1576, 'grad_norm': 10.062816619873047, 'learning_rate': 9.32467057101025e-06, 'epoch': 0.16}
{'loss': 1.1688, 'grad_norm': 11.521441459655762, 'learning_rate': 9.306368960468521e-06, 'epoch': 0.16}
{'loss': 1.2482, 'grad_norm': 12.203949928283691, 'learning_rate': 9.288067349926795e-06, 'epoch': 0.16}
{'loss': 1.1108, 'grad_norm': 11.211772918701172, 'learning_rate': 9.269765739385066e-06, 'epoch': 0.17}
{'loss': 1.1545, 'grad_norm': 11.565457344055176, 'learning_rate': 9.25146412884334e-06, 'epoch': 0.17}
{'loss': 1.0641, 'grad_norm': 12.640623092651367, 'learning_rate': 9.233162518301611e-06, 'epoch': 0.17}
{'loss': 1.1983, 'grad_norm': 11.713207244873047, 'learning_rate': 9.214860907759885e-06, 'epoch': 0.17}
{'loss': 1.1583, 'grad_norm': 12.187535285949707, 'learning_rate': 9.196559297218156e-06, 'epoch': 0.17}
{'loss': 1.1873, 'grad_norm': 11.218782424926758, 'learning_rate': 9.178257686676428e-06, 'epoch': 0.17}
{'loss': 1.2177, 'grad_norm': 10.547052383422852, 'learning_rate': 9.159956076134701e-06, 'epoch': 0.18}
{'loss': 1.1732, 'grad_norm': 10.634346008300781, 'learning_rate': 9.141654465592973e-06, 'epoch': 0.18}
{'loss': 1.2056, 'grad_norm': 11.330656051635742, 'learning_rate': 9.123352855051246e-06, 'epoch': 0.18}
{'loss': 1.0567, 'grad_norm': 10.04180908203125, 'learning_rate': 9.105051244509517e-06, 'epoch': 0.18}
{'loss': 1.1662, 'grad_norm': 11.866790771484375, 'learning_rate': 9.086749633967789e-06, 'epoch': 0.18}
{'loss': 1.2014, 'grad_norm': 9.5623779296875, 'learning_rate': 9.068448023426062e-06, 'epoch': 0.18}
{'loss': 1.2147, 'grad_norm': 12.055779457092285, 'learning_rate': 9.050146412884334e-06, 'epoch': 0.19}
{'loss': 1.1464, 'grad_norm': 10.278944969177246, 'learning_rate': 9.031844802342607e-06, 'epoch': 0.19}
{'loss': 1.1285, 'grad_norm': 12.067713737487793, 'learning_rate': 9.013543191800879e-06, 'epoch': 0.19}
{'loss': 1.2383, 'grad_norm': 12.50500774383545, 'learning_rate': 8.995241581259152e-06, 'epoch': 0.19}
{'loss': 1.1973, 'grad_norm': 10.837275505065918, 'learning_rate': 8.976939970717424e-06, 'epoch': 0.19}
{'loss': 1.176, 'grad_norm': 10.617095947265625, 'learning_rate': 8.958638360175697e-06, 'epoch': 0.19}
{'loss': 1.1925, 'grad_norm': 11.625134468078613, 'learning_rate': 8.940336749633969e-06, 'epoch': 0.2}
{'loss': 1.1371, 'grad_norm': 11.201125144958496, 'learning_rate': 8.922035139092242e-06, 'epoch': 0.2}
{'loss': 1.1869, 'grad_norm': 11.234504699707031, 'learning_rate': 8.903733528550513e-06, 'epoch': 0.2}
{'loss': 1.0514, 'grad_norm': 10.958065032958984, 'learning_rate': 8.885431918008785e-06, 'epoch': 0.2}
{'loss': 1.1515, 'grad_norm': 11.715437889099121, 'learning_rate': 8.867130307467058e-06, 'epoch': 0.2}
{'loss': 1.176, 'grad_norm': 10.527070045471191, 'learning_rate': 8.84882869692533e-06, 'epoch': 0.2}
{'loss': 1.1202, 'grad_norm': 11.601933479309082, 'learning_rate': 8.830527086383602e-06, 'epoch': 0.21}
{'loss': 1.1938, 'grad_norm': 9.836874961853027, 'learning_rate': 8.812225475841875e-06, 'epoch': 0.21}
{'loss': 1.0809, 'grad_norm': 10.995244979858398, 'learning_rate': 8.793923865300146e-06, 'epoch': 0.21}
{'loss': 1.1446, 'grad_norm': 11.94543170928955, 'learning_rate': 8.77562225475842e-06, 'epoch': 0.21}
{'loss': 1.169, 'grad_norm': 12.597067832946777, 'learning_rate': 8.757320644216691e-06, 'epoch': 0.21}
{'loss': 1.1111, 'grad_norm': 9.988301277160645, 'learning_rate': 8.739019033674963e-06, 'epoch': 0.21}
{'loss': 1.1439, 'grad_norm': 11.954835891723633, 'learning_rate': 8.720717423133236e-06, 'epoch': 0.22}
{'loss': 1.1317, 'grad_norm': 11.28382396697998, 'learning_rate': 8.70241581259151e-06, 'epoch': 0.22}
{'loss': 1.1478, 'grad_norm': 11.061538696289062, 'learning_rate': 8.684114202049781e-06, 'epoch': 0.22}
{'loss': 1.1297, 'grad_norm': 12.20216178894043, 'learning_rate': 8.665812591508054e-06, 'epoch': 0.22}
{'loss': 1.2226, 'grad_norm': 12.365121841430664, 'learning_rate': 8.647510980966326e-06, 'epoch': 0.22}
{'loss': 1.1822, 'grad_norm': 11.630500793457031, 'learning_rate': 8.629209370424598e-06, 'epoch': 0.22}
{'loss': 1.1805, 'grad_norm': 10.940693855285645, 'learning_rate': 8.61090775988287e-06, 'epoch': 0.23}
{'loss': 1.1301, 'grad_norm': 12.7249116897583, 'learning_rate': 8.592606149341142e-06, 'epoch': 0.23}
{'loss': 1.1726, 'grad_norm': 11.124238014221191, 'learning_rate': 8.574304538799416e-06, 'epoch': 0.23}
{'loss': 1.1447, 'grad_norm': 11.37424373626709, 'learning_rate': 8.556002928257687e-06, 'epoch': 0.23}
{'loss': 1.2162, 'grad_norm': 10.805926322937012, 'learning_rate': 8.537701317715959e-06, 'epoch': 0.23}
{'loss': 1.1288, 'grad_norm': 10.35916519165039, 'learning_rate': 8.519399707174232e-06, 'epoch': 0.23}
{'loss': 1.1256, 'grad_norm': 11.174129486083984, 'learning_rate': 8.501098096632504e-06, 'epoch': 0.24}
{'loss': 1.0818, 'grad_norm': 11.495777130126953, 'learning_rate': 8.482796486090777e-06, 'epoch': 0.24}
{'loss': 1.1153, 'grad_norm': 10.005379676818848, 'learning_rate': 8.464494875549049e-06, 'epoch': 0.24}
{'loss': 1.1455, 'grad_norm': 10.170323371887207, 'learning_rate': 8.44619326500732e-06, 'epoch': 0.24}
{'loss': 1.0975, 'grad_norm': 11.095064163208008, 'learning_rate': 8.427891654465593e-06, 'epoch': 0.24}
{'loss': 1.102, 'grad_norm': 10.571748733520508, 'learning_rate': 8.409590043923867e-06, 'epoch': 0.24}
{'loss': 1.1418, 'grad_norm': 11.580118179321289, 'learning_rate': 8.391288433382138e-06, 'epoch': 0.25}
{'loss': 1.1846, 'grad_norm': 11.928337097167969, 'learning_rate': 8.372986822840412e-06, 'epoch': 0.25}
{'loss': 1.1734, 'grad_norm': 11.034771919250488, 'learning_rate': 8.354685212298683e-06, 'epoch': 0.25}
{'loss': 1.2047, 'grad_norm': 11.906188011169434, 'learning_rate': 8.336383601756955e-06, 'epoch': 0.25}
{'loss': 1.1232, 'grad_norm': 11.881089210510254, 'learning_rate': 8.318081991215228e-06, 'epoch': 0.25}
{'loss': 1.1231, 'grad_norm': 10.441661834716797, 'learning_rate': 8.2997803806735e-06, 'epoch': 0.25}
{'loss': 1.1087, 'grad_norm': 11.567438125610352, 'learning_rate': 8.281478770131773e-06, 'epoch': 0.26}
{'loss': 1.1389, 'grad_norm': 9.415250778198242, 'learning_rate': 8.263177159590045e-06, 'epoch': 0.26}
{'loss': 1.127, 'grad_norm': 11.36489486694336, 'learning_rate': 8.244875549048316e-06, 'epoch': 0.26}
{'loss': 1.137, 'grad_norm': 11.467818260192871, 'learning_rate': 8.22657393850659e-06, 'epoch': 0.26}
{'loss': 1.0754, 'grad_norm': 11.456854820251465, 'learning_rate': 8.208272327964861e-06, 'epoch': 0.26}
{'loss': 1.1316, 'grad_norm': 10.331830024719238, 'learning_rate': 8.189970717423134e-06, 'epoch': 0.26}
{'loss': 1.1661, 'grad_norm': 11.187980651855469, 'learning_rate': 8.171669106881406e-06, 'epoch': 0.27}
{'loss': 1.1872, 'grad_norm': 10.399218559265137, 'learning_rate': 8.153367496339678e-06, 'epoch': 0.27}
{'loss': 1.1977, 'grad_norm': 12.56601333618164, 'learning_rate': 8.13506588579795e-06, 'epoch': 0.27}
{'loss': 1.0679, 'grad_norm': 10.2355318069458, 'learning_rate': 8.116764275256224e-06, 'epoch': 0.27}
{'loss': 1.0969, 'grad_norm': 10.013530731201172, 'learning_rate': 8.098462664714496e-06, 'epoch': 0.27}
