[2025-03-01 02:38:10,548] [INFO] [real_accelerator.py:222:get_accelerator] Setting ds_accelerator to cuda (auto detect)
{'loss': 1.2203, 'grad_norm': 8.442235946655273, 'learning_rate': 4.098765432098765e-06, 'epoch': 0.01}
{'loss': 1.458, 'grad_norm': 5.314786434173584, 'learning_rate': 4.148148148148148e-06, 'epoch': 0.01}
{'loss': 1.5107, 'grad_norm': 8.099340438842773, 'learning_rate': 4.197530864197531e-06, 'epoch': 0.01}
{'loss': 1.4452, 'grad_norm': 8.973856925964355, 'learning_rate': 4.246913580246913e-06, 'epoch': 0.01}
{'loss': 1.4169, 'grad_norm': 5.789454460144043, 'learning_rate': 4.296296296296296e-06, 'epoch': 0.01}
{'loss': 1.0147, 'grad_norm': 8.084916114807129, 'learning_rate': 4.345679012345679e-06, 'epoch': 0.01}
{'loss': 1.0325, 'grad_norm': 5.712528228759766, 'learning_rate': 4.395061728395062e-06, 'epoch': 0.01}
{'loss': 1.5247, 'grad_norm': 7.314171314239502, 'learning_rate': 4.444444444444444e-06, 'epoch': 0.01}
{'loss': 0.905, 'grad_norm': 6.1211771965026855, 'learning_rate': 4.493827160493827e-06, 'epoch': 0.01}
{'loss': 1.2268, 'grad_norm': 8.808003425598145, 'learning_rate': 4.54320987654321e-06, 'epoch': 0.01}
{'loss': 1.6703, 'grad_norm': 6.791219711303711, 'learning_rate': 4.592592592592593e-06, 'epoch': 0.01}
{'loss': 1.125, 'grad_norm': 5.920783042907715, 'learning_rate': 4.641975308641975e-06, 'epoch': 0.01}
{'loss': 1.5319, 'grad_norm': 10.033283233642578, 'learning_rate': 4.691358024691358e-06, 'epoch': 0.01}
{'loss': 1.5048, 'grad_norm': 5.982067108154297, 'learning_rate': 4.740740740740741e-06, 'epoch': 0.01}
{'loss': 0.9457, 'grad_norm': 6.202031135559082, 'learning_rate': 4.790123456790124e-06, 'epoch': 0.01}
{'loss': 1.2127, 'grad_norm': 5.727851390838623, 'learning_rate': 4.839506172839506e-06, 'epoch': 0.01}
{'loss': 1.7112, 'grad_norm': 7.269425392150879, 'learning_rate': 4.888888888888889e-06, 'epoch': 0.01}
{'loss': 1.3166, 'grad_norm': 6.572683334350586, 'learning_rate': 4.938271604938272e-06, 'epoch': 0.01}
{'loss': 1.3114, 'grad_norm': 7.088972568511963, 'learning_rate': 4.987654320987654e-06, 'epoch': 0.01}
{'loss': 1.1307, 'grad_norm': 5.954873561859131, 'learning_rate': 5.037037037037037e-06, 'epoch': 0.01}
{'loss': 1.4158, 'grad_norm': 8.190046310424805, 'learning_rate': 5.0864197530864195e-06, 'epoch': 0.01}
{'loss': 1.4243, 'grad_norm': 5.605632305145264, 'learning_rate': 5.135802469135803e-06, 'epoch': 0.01}
{'loss': 1.1277, 'grad_norm': 5.470665454864502, 'learning_rate': 5.185185185185185e-06, 'epoch': 0.01}
{'loss': 1.2594, 'grad_norm': 6.872859954833984, 'learning_rate': 5.234567901234568e-06, 'epoch': 0.01}
{'loss': 1.0601, 'grad_norm': 6.3036346435546875, 'learning_rate': 5.2839506172839505e-06, 'epoch': 0.01}
{'loss': 1.1386, 'grad_norm': 7.359925270080566, 'learning_rate': 5.333333333333334e-06, 'epoch': 0.01}
{'loss': 1.2171, 'grad_norm': 5.7184014320373535, 'learning_rate': 5.382716049382716e-06, 'epoch': 0.01}
{'loss': 1.0577, 'grad_norm': 6.964450359344482, 'learning_rate': 5.432098765432099e-06, 'epoch': 0.01}
{'loss': 0.9325, 'grad_norm': 7.465820789337158, 'learning_rate': 5.4814814814814815e-06, 'epoch': 0.01}
{'loss': 1.6852, 'grad_norm': 10.82787799835205, 'learning_rate': 5.530864197530865e-06, 'epoch': 0.01}
{'loss': 1.0468, 'grad_norm': 6.704705715179443, 'learning_rate': 5.580246913580247e-06, 'epoch': 0.01}
{'loss': 1.2332, 'grad_norm': 6.665096282958984, 'learning_rate': 5.62962962962963e-06, 'epoch': 0.01}
{'loss': 1.606, 'grad_norm': 7.392812728881836, 'learning_rate': 5.6790123456790125e-06, 'epoch': 0.01}
{'loss': 1.0941, 'grad_norm': 5.713943958282471, 'learning_rate': 5.728395061728396e-06, 'epoch': 0.01}
{'loss': 1.1247, 'grad_norm': 7.753724575042725, 'learning_rate': 5.777777777777778e-06, 'epoch': 0.01}
{'loss': 1.5303, 'grad_norm': 6.5134992599487305, 'learning_rate': 5.82716049382716e-06, 'epoch': 0.01}
{'loss': 1.2346, 'grad_norm': 10.761585235595703, 'learning_rate': 5.8765432098765435e-06, 'epoch': 0.01}
{'loss': 1.2721, 'grad_norm': 7.221279144287109, 'learning_rate': 5.925925925925926e-06, 'epoch': 0.01}
{'loss': 0.9974, 'grad_norm': 4.378582000732422, 'learning_rate': 5.975308641975309e-06, 'epoch': 0.01}
{'loss': 0.8559, 'grad_norm': 4.751249313354492, 'learning_rate': 6.024691358024691e-06, 'epoch': 0.01}
{'loss': 1.2019, 'grad_norm': 5.756877422332764, 'learning_rate': 6.0740740740740745e-06, 'epoch': 0.01}
{'loss': 1.5303, 'grad_norm': 7.54130220413208, 'learning_rate': 6.123456790123457e-06, 'epoch': 0.01}
{'loss': 1.1989, 'grad_norm': 6.117380619049072, 'learning_rate': 6.17283950617284e-06, 'epoch': 0.01}
{'loss': 1.5506, 'grad_norm': 7.13227653503418, 'learning_rate': 6.222222222222222e-06, 'epoch': 0.01}
{'loss': 0.9342, 'grad_norm': 6.604763031005859, 'learning_rate': 6.2716049382716055e-06, 'epoch': 0.01}
{'loss': 1.4895, 'grad_norm': 6.390257358551025, 'learning_rate': 6.320987654320988e-06, 'epoch': 0.01}
{'loss': 0.7968, 'grad_norm': 4.154053688049316, 'learning_rate': 6.370370370370371e-06, 'epoch': 0.01}
{'loss': 1.3774, 'grad_norm': 6.407425403594971, 'learning_rate': 6.419753086419753e-06, 'epoch': 0.01}
{'loss': 1.468, 'grad_norm': 9.085371971130371, 'learning_rate': 6.4691358024691365e-06, 'epoch': 0.01}
{'loss': 1.5241, 'grad_norm': 7.507018566131592, 'learning_rate': 6.518518518518519e-06, 'epoch': 0.01}
{'loss': 1.462, 'grad_norm': 6.6164469718933105, 'learning_rate': 6.567901234567902e-06, 'epoch': 0.01}
{'loss': 1.1428, 'grad_norm': 5.583586692810059, 'learning_rate': 6.617283950617284e-06, 'epoch': 0.01}
{'loss': 1.3187, 'grad_norm': 10.660093307495117, 'learning_rate': 6.666666666666667e-06, 'epoch': 0.01}
{'loss': 1.132, 'grad_norm': 5.260577201843262, 'learning_rate': 6.71604938271605e-06, 'epoch': 0.01}
{'loss': 1.0841, 'grad_norm': 7.056662559509277, 'learning_rate': 6.765432098765432e-06, 'epoch': 0.01}
{'loss': 1.5166, 'grad_norm': 8.722475051879883, 'learning_rate': 6.814814814814815e-06, 'epoch': 0.01}
{'loss': 1.2012, 'grad_norm': 5.833118438720703, 'learning_rate': 6.864197530864198e-06, 'epoch': 0.01}
{'loss': 0.8168, 'grad_norm': 3.561293601989746, 'learning_rate': 6.913580246913581e-06, 'epoch': 0.01}
{'loss': 0.9508, 'grad_norm': 5.241950035095215, 'learning_rate': 6.962962962962963e-06, 'epoch': 0.01}
{'loss': 0.9536, 'grad_norm': 5.481884956359863, 'learning_rate': 7.012345679012346e-06, 'epoch': 0.01}
{'loss': 1.4609, 'grad_norm': nan, 'learning_rate': 7.012345679012346e-06, 'epoch': 0.01}
{'loss': 1.294, 'grad_norm': 5.758586406707764, 'learning_rate': 7.061728395061729e-06, 'epoch': 0.01}
{'loss': 1.3383, 'grad_norm': 6.9080095291137695, 'learning_rate': 7.111111111111112e-06, 'epoch': 0.01}
{'loss': 1.5221, 'grad_norm': 7.0066938400268555, 'learning_rate': 7.160493827160494e-06, 'epoch': 0.01}
{'loss': 1.2913, 'grad_norm': 8.599130630493164, 'learning_rate': 7.209876543209877e-06, 'epoch': 0.01}
{'loss': 1.356, 'grad_norm': 6.204652786254883, 'learning_rate': 7.25925925925926e-06, 'epoch': 0.01}
{'loss': 0.9071, 'grad_norm': 4.913305759429932, 'learning_rate': 7.308641975308643e-06, 'epoch': 0.01}
{'loss': 1.4831, 'grad_norm': 7.417284965515137, 'learning_rate': 7.358024691358025e-06, 'epoch': 0.01}
{'loss': 1.3283, 'grad_norm': 6.746144771575928, 'learning_rate': 7.4074074074074075e-06, 'epoch': 0.01}
{'loss': 1.0603, 'grad_norm': 6.220475196838379, 'learning_rate': 7.456790123456791e-06, 'epoch': 0.01}
{'loss': 1.2262, 'grad_norm': 14.527983665466309, 'learning_rate': 7.506172839506174e-06, 'epoch': 0.01}
{'loss': 1.527, 'grad_norm': 6.842443466186523, 'learning_rate': 7.555555555555555e-06, 'epoch': 0.01}
{'loss': 1.4917, 'grad_norm': 6.354706287384033, 'learning_rate': 7.6049382716049385e-06, 'epoch': 0.01}
{'loss': 1.5841, 'grad_norm': 9.499194145202637, 'learning_rate': 7.654320987654322e-06, 'epoch': 0.01}
{'loss': 1.1257, 'grad_norm': 6.925441741943359, 'learning_rate': 7.703703703703704e-06, 'epoch': 0.01}
{'loss': 1.2069, 'grad_norm': 7.487985610961914, 'learning_rate': 7.753086419753086e-06, 'epoch': 0.01}
{'loss': 1.3945, 'grad_norm': 8.899375915527344, 'learning_rate': 7.802469135802469e-06, 'epoch': 0.01}
{'loss': 1.1668, 'grad_norm': 6.250524044036865, 'learning_rate': 7.851851851851853e-06, 'epoch': 0.01}
{'loss': 1.2703, 'grad_norm': 7.540794849395752, 'learning_rate': 7.901234567901235e-06, 'epoch': 0.01}
{'loss': 1.4236, 'grad_norm': 7.196022033691406, 'learning_rate': 7.950617283950617e-06, 'epoch': 0.01}
{'loss': 1.3347, 'grad_norm': 8.483807563781738, 'learning_rate': 8e-06, 'epoch': 0.01}
{'loss': 1.1061, 'grad_norm': 7.3113627433776855, 'learning_rate': 8.049382716049384e-06, 'epoch': 0.01}
{'loss': 1.3181, 'grad_norm': 7.454538345336914, 'learning_rate': 8.098765432098766e-06, 'epoch': 0.01}
{'loss': 1.0495, 'grad_norm': 7.03472375869751, 'learning_rate': 8.148148148148148e-06, 'epoch': 0.01}
{'loss': 1.4214, 'grad_norm': 9.146888732910156, 'learning_rate': 8.19753086419753e-06, 'epoch': 0.01}
{'loss': 1.5825, 'grad_norm': 8.765085220336914, 'learning_rate': 8.246913580246915e-06, 'epoch': 0.01}
{'loss': 1.0435, 'grad_norm': 5.069567680358887, 'learning_rate': 8.296296296296295e-06, 'epoch': 0.01}
{'loss': 1.0944, 'grad_norm': 6.707457065582275, 'learning_rate': 8.34567901234568e-06, 'epoch': 0.01}
{'loss': 1.3552, 'grad_norm': 6.2046122550964355, 'learning_rate': 8.395061728395062e-06, 'epoch': 0.01}
{'loss': 1.0921, 'grad_norm': 5.959746837615967, 'learning_rate': 8.444444444444446e-06, 'epoch': 0.01}
{'loss': 1.512, 'grad_norm': 7.468694686889648, 'learning_rate': 8.493827160493826e-06, 'epoch': 0.01}
